id,arabic,latin,transliteration,translation,num_ayah,page,location
1, الفاتحة,Al-Fātiḥah ,Al-Fatihah,Pembuka,7,1,Makkiyah
2, البقرة,Al-Baqarah ,Al-Baqarah,Sapi,286,2,Madaniyah
3, اٰل عمرٰن,Āli ‘Imrān,Ali ‘Imran,Keluarga Imran,200,50,Madaniyah
4,النّساۤء,An-Nisā' ,An-Nisa',Perempuan,176,77,Madaniyah
5, الماۤئدة,Al-Mā'idah,Al-Ma'idah,Hidangan,120,106,Madaniyah
6, الانعام,Al-An‘ām ,Al-An‘am,Binatang Ternak,165,128,Makkiyah
7, الاعراف,Al-A‘rāf,Al-A‘raf,Tempat Tertinggi,206,151,Makkiyah
8, الانفال,Al-Anfāl,Al-Anfal,Rampasan Perang,75,177,Madaniyah
9,التّوبة,At-Taubah,At-Taubah,Pengampunan,129,187,Madaniyah
10, يونس,Yūnus,Yunus,Yunus,109,208,Makkiyah
11, هود,Hūd,Hud,Hud,123,221,Makkiyah
12, يوسف,Yūsuf,Yusuf,Yusuf,111,235,Makkiyah
13, الرّعد,Ar-Ra‘d,Ar-Ra‘d,Guruh,43,249,Makkiyah
14, ابرٰهيم,Ibrāhīm,Ibrahim,Ibrahim,52,255,Makkiyah
15, الحجر,Al-Ḥijr,Al-Hijr,Hijr,99,262,Makkiyah
16,النّحل,An-Naḥl,An-Nahl,Lebah,128,267,Makkiyah
17, الاسراۤء,Al-Isrā',Al-Isra',Memperjalankan di Malam Hari,111,282,Makkiyah
18, الكهف,Al-Kahf,Al-Kahf,Gua,110,293,Makkiyah
19, مريم,Maryam,Maryam,Maryam,98,305,Makkiyah
20, طٰهٰ,Ṭāhā,Taha,Taha,135,312,Makkiyah
21, الانبياۤء,Al-Anbiyā' ,Al-Anbiya',Para Nabi,112,322,Makkiyah
22,الحجّ,Al-Ḥajj,Al-Hajj,Haji,78,332,Madaniyah
23, المؤمنون,Al-Mu'minūn,Al-Mu'minun,Orang-Orang Mukmin,118,342,Makkiyah
24, النّور,An-Nūr,An-Nur,Cahaya,64,350,Madaniyah
25, الفرقان,Al-Furqān,Al-Furqan,Pembeda,77,359,Makkiyah
26,الشّعراۤء,Asy-Syu‘arā',Asy-Syu‘ara',Para Penyair,227,367,Makkiyah
27,النّمل,An-Naml,An-Naml,Semut,93,377,Makkiyah
28, القصص,Al-Qaṣaṣ,Al-Qasas,Kisah-Kisah,88,385,Makkiyah
29, العنكبوت,Al-‘Ankabūt,Al-‘Ankabut,Laba-Laba,69,396,Makkiyah
30, الرّوم,Ar-Rūm,Ar-Rum,Romawi,60,404,Makkiyah
31, لقمٰن,Luqmān ,Luqman,Luqman,34,411,Makkiyah
32, السّجدة,As-Sajdah,As-Sajdah,Sajdah,30,415,Makkiyah
33, الاحزاب,Al-Aḥzāb,Al-Ahzab,Golongan Yang Bersekutu,73,418,Madaniyah
34, سبأ,Saba' ,Saba',Saba',54,428,Makkiyah
35, فاطر,Fāṭir,Fatir,Pencipta,45,434,Makkiyah
36, يٰسۤ,Yāsīn,Yasin,Yasin,83,440,Makkiyah
37, الصّٰۤفّٰت,Aṣ-Ṣāffāt,As-Saffat,Barisan-Barisan,182,446,Makkiyah
38,صۤ,Ṣād ,Sad,Ṣād ,88,453,Makkiyah
39,الزّمر,Az-Zumar,Az-Zumar,Rombongan,75,458,Makkiyah
40, غافر,Gāfir ,Gafir,Maha Pengampun,85,467,Makkiyah
41, فصّلت,Fuṣṣilat,Fussilat,Dijelaskan,54,477,Makkiyah
42,الشّورٰى,Asy-Syūrā,Asy-Syura,Musyawarah,53,483,Makkiyah
43,الزّخرف,Az-Zukhruf,Az-Zukhruf,Perhiasan dari Emas,89,489,Makkiyah
44,الدّخان,Ad-Dukhān,Ad-Dukhan,Kabut Asap,59,496,Makkiyah
45, الجاثية,Al-Jāṡiyah,Al-Jasiyah,Berlutut,37,499,Makkiyah
46, الاحقاف,Al-Aḥqāf,Al-Ahqaf,Ahqaf,35,502,Makkiyah
47, محمّد,Muḥammad ,Muhammad,Nabi Muhammad,38,507,Madaniyah
48, الفتح,Al-Fatḥ,Al-Fath,Kemenangan,29,511,Madaniyah
49, الحجرٰت,Al-Ḥujurāt,Al-Hujurat,Kamar-Kamar,18,515,Madaniyah
50,قۤ,Qāf,Qaf,Qaf,45,518,Makkiyah
51, الذّٰريٰت,Aż-Żāriyāt,Az-Zariyat,Yang Menerbangkan,60,520,Makkiyah
52,الطّور,Aṭ-Ṭūr,At-Tur,Gunung,49,523,Makkiyah
53,النّجم,An-Najm,An-Najm,Bintang,62,526,Makkiyah
54, القمر,Al-Qamar,Al-Qamar,Bulan,55,528,Makkiyah
55,الرّحمٰن,Ar-Raḥmān,Ar-Rahman,Yang Maha Pengasih,78,531,Makkiyah
56, الواقعة,Al-Wāqi‘ah,Al-Waqi‘ah,Hari Kiamat Yang Pasti Terjadi,96,534,Makkiyah
57, الحديد,Al-Ḥadīd,Al-Hadid,Besi,29,537,Madaniyah
58, المجادلة,Al-Mujādalah,Al-Mujadalah,Gugatan,22,542,Madaniyah
59, الحشر,Al-Ḥasyr,Al-Hasyr,Pengusiran,24,545,Madaniyah
60, الممتحنة,Al-Mumtaḥanah,Al-Mumtahanah,Wanita Yang Diuji,13,549,Madaniyah
61, الصّفّ,Aṣ-Ṣaff,As-Saff,Barisan,14,551,Madaniyah
62, الجمعة,Al-Jumu‘ah,Al-Jumu‘ah,Jumat,11,553,Madaniyah
63, المنٰفقون,Al-Munāfiqūn,Al-Munafiqun,Orang-Orang Munafik,11,554,Madaniyah
64,التّغابن,At-Tagābun,At-Tagabun,Pengungkapan Kesalahan,18,556,Madaniyah
65,الطّلاق,Aṭ-Ṭalāq,At-Talaq,Talak,12,558,Madaniyah
66,التّحريم,At-taḥrīm,At-tahrim,Pengharaman,12,560,Madaniyah
67,المُلك,Al-Mulk,Al-Mulk,Kerajaan,30,562,Makkiyah
68, القلم,Al-Qalam,Al-Qalam,Pena,52,564,Makkiyah
69, الحاۤقّة,Al-Ḥāqqah,Al-Haqqah,Hari Kiamat Yang Pasti Terjadi,52,566,Makkiyah
